customer_id,tenure_months,monthly_spend,support_tickets,last_login_days,plan_type,churn_probability,churned,rule_flag,rule_signal_strength,logistic_probability,logistic_flag
SYN-5200488,3,14.9700,4,53,Basic,0.8130,1,1,1.0000,0.9993,1
SYN-6118670,3,14.0600,2,56,Premium,0.7880,1,1,0.7500,0.9987,1
SYN-3735550,1,16.7400,2,56,Premium,0.7860,1,1,0.5000,0.9986,1
SYN-3713608,15,5.5700,3,54,Basic,0.7670,1,1,0.7500,0.9967,1
SYN-4682677,5,9.8100,1,50,Basic,0.7300,1,1,0.7500,0.9877,1
SYN-2813225,3,7.5200,2,37,Basic,0.7110,1,1,0.5000,0.9823,1
SYN-3156019,2,5.7400,0,41,Premium,0.6990,1,1,0.5000,0.9810,1
SYN-8724620,1,16.3100,3,49,Standard,0.6770,1,1,0.5000,0.9800,1
SYN-8404853,3,5.1400,0,40,Premium,0.6880,1,1,0.5000,0.9755,1
SYN-9780600,10,6.0700,2,52,Standard,0.6610,1,1,0.5000,0.9684,1
SYN-5509402,32,7.4200,5,50,Basic,0.6640,1,1,0.7500,0.9641,1
SYN-2487061,9,20.3600,1,55,Premium,0.6660,1,0,0.2500,0.9625,1
SYN-6730855,4,12.5600,0,50,Basic,0.6860,1,1,0.7500,0.9582,1
SYN-8701036,26,9.6200,5,43,Basic,0.6500,1,1,0.5000,0.9502,1
SYN-9442461,10,21.2700,1,59,Basic,0.6700,1,0,0.2500,0.9453,1
SYN-4697652,6,17.6100,0,56,Basic,0.6740,1,1,0.5000,0.9443,1
SYN-4930456,11,21.6100,1,56,Premium,0.6470,1,0,0.2500,0.9422,1
SYN-1847596,13,8.4300,4,42,Standard,0.6190,1,1,0.5000,0.9371,1
SYN-8575225,11,18.9700,1,52,Premium,0.6380,1,0,0.2500,0.9308,1
SYN-5281343,3,16.0500,1,55,Standard,0.6330,1,1,0.5000,0.9302,1
SYN-1574355,2,15.4400,1,53,Standard,0.6320,1,1,0.5000,0.9287,1
SYN-4990727,12,21.5200,4,41,Basic,0.6330,1,0,0.2500,0.9131,1
SYN-1394233,4,22.1900,1,59,Standard,0.6060,1,1,0.5000,0.8774,1
SYN-5550455,7,12.2100,1,37,Basic,0.6080,1,1,0.5000,0.8065,1
SYN-7501233,2,13.8800,0,38,Basic,0.6090,1,1,0.5000,0.7905,1
SYN-7346487,9,12.5700,2,33,Basic,0.5950,1,0,0.2500,0.7817,1
