customer_id,tenure_months,monthly_spend,support_tickets,last_login_days,plan_type,churn_probability,churned
SYN-1803258,24,15.09,1,46,Basic,0.494,0
SYN-7965603,19,8.15,3,33,Standard,0.458,0
SYN-6891143,12,27.32,0,0,Basic,0.176,0
SYN-4949905,34,21.9,4,12,Basic,0.232,0
SYN-4897136,10,18.26,1,27,Standard,0.341,0
SYN-8727380,14,11.7,0,10,Basic,0.309,0
SYN-1773510,28,11.85,2,30,Standard,0.293,0
SYN-7276311,21,10.67,4,24,Standard,0.39,0
SYN-2813225,3,7.52,2,37,Basic,0.711,1
SYN-1847596,13,8.43,4,42,Standard,0.619,1
SYN-5738310,8,21.75,1,17,Basic,0.371,0
SYN-9780600,10,6.07,2,52,Standard,0.661,1
SYN-7621770,8,13.4,2,10,Premium,0.431,0
SYN-7850256,23,29.01,1,39,Basic,0.342,0
SYN-7457294,18,15.36,3,36,Standard,0.432,0
SYN-8074577,8,20.73,1,6,Basic,0.303,0
SYN-5619038,5,23.31,1,42,Standard,0.458,0
SYN-2153022,15,14.76,0,28,Premium,0.414,0
SYN-8557733,17,21.65,3,16,Premium,0.368,0
SYN-5053472,25,17.72,1,43,Basic,0.441,0
SYN-5503166,8,37.67,0,46,Standard,0.313,0
SYN-4337181,20,36.82,3,47,Basic,0.443,0
SYN-2642946,10,8.08,0,25,Standard,0.366,0
SYN-9340883,8,18.75,0,2,Basic,0.259,0
SYN-8034106,4,15.25,0,10,Standard,0.266,0
SYN-6794785,29,26.77,0,32,Basic,0.235,0
SYN-4621728,28,17.1,2,13,Premium,0.257,0
SYN-8404853,3,5.14,0,40,Premium,0.688,1
SYN-5908861,29,14.63,2,45,Standard,0.367,0
SYN-4990727,12,21.52,4,41,Basic,0.633,1
SYN-5054135,4,23.5,4,15,Basic,0.495,0
SYN-3045148,22,26.38,1,44,Basic,0.407,0
SYN-1829223,27,10.34,2,14,Standard,0.216,0
SYN-5991262,31,16.05,3,26,Standard,0.25,0
SYN-8991007,27,8.11,2,9,Basic,0.29,0
SYN-1574355,2,15.44,1,53,Standard,0.632,1
SYN-8724620,1,16.31,3,49,Standard,0.677,1
SYN-8448679,24,9.14,2,17,Basic,0.362,0
SYN-3490836,15,33.98,1,12,Standard,0.139,0
SYN-6684978,4,34.7,1,29,Standard,0.288,0
SYN-2487061,9,20.36,1,55,Premium,0.666,1
SYN-7822788,13,13.87,0,16,Standard,0.245,0
SYN-7304705,14,13.36,1,22,Premium,0.428,0
SYN-4190733,25,19.61,4,45,Basic,0.559,1
SYN-1611279,34,11.24,1,58,Basic,0.524,1
SYN-9736281,19,23.68,1,53,Standard,0.408,0
SYN-5011186,23,15.37,1,13,Standard,0.184,0
SYN-9038089,17,10.8,2,49,Standard,0.539,1
SYN-7101270,12,34.55,1,28,Standard,0.226,0
SYN-8005450,32,34.83,2,13,Standard,0.091,0
SYN-7839094,5,35.75,3,35,Standard,0.384,0
SYN-2751748,11,20.95,0,5,Basic,0.241,0
SYN-4275153,23,23.35,3,28,Basic,0.379,0
SYN-5200488,3,14.97,4,53,Basic,0.813,1
SYN-5480123,20,5.62,0,25,Premium,0.418,0
SYN-1394233,4,22.19,1,59,Standard,0.606,1
SYN-5919124,2,17.33,0,41,Standard,0.487,0
SYN-2388605,2,33.12,0,16,Basic,0.297,0
SYN-7690382,5,7.37,0,24,Standard,0.409,0
SYN-7147439,34,8.32,1,2,Basic,0.177,0
SYN-9302749,21,8.31,1,26,Basic,0.424,0
SYN-7702858,25,7.73,1,43,Premium,0.531,1
SYN-4299783,5,14.82,1,34,Basic,0.583,1
SYN-9707586,3,20.67,1,51,Standard,0.567,1
SYN-4697652,6,17.61,0,56,Basic,0.674,1
